thai,phone
กระจะกระจ่าง,kra2ʔ ca2ʔ kra2ʔ cA2ŋ
กระจัด,kra2ʔ ca2t
กระจัดพลัดพราย,kra2ʔ ca2t Pla4t PrA1j
กระจัดกระจาย,kra2ʔ ca2t kra2ʔ cA1j
กระจับ,kra2ʔ ca2p
กระจับนักมวย,kra2ʔ ca2p na4k mV1j
กระจับหุ้มอวัยวะสืบพันธุ์ของชาย,kra2ʔ ca2p hu3m ʔa2 wa1j ja4 wa4ʔ sW2p Pa1n KX5ŋ CA1j
กระจ่า,kra2ʔ cA2
กระจ่าง,kra2ʔ cA2ŋ
กระจ่างแจ้ง,kra2ʔ cA2ŋ cY3ŋ
กระจาด,kra2ʔ cA2t
กระจาบ,kra2ʔ cA2p
กระจาย,kra2ʔ cA1j
กระจายข่าว,kra2ʔ cA1j KA2w
กระจายเสียง,kra2ʔ cA1j sJ5ŋ
กระจายอำนาจ,kra2ʔ cA1j ʔa1m nA3t
กระจิดริด,kra2ʔ ci2t ri4t
กระจิตกระใจ,kra2ʔ ci2t kra2ʔ ca1j
กระจิบ,kra2ʔ ci2p
กระจิบกระจอกข่าว,kra2ʔ ci2p kra2ʔ cX2k KA2w
กระจิบข่าว,kra2ʔ ci2p KA2w
กระจิริด,kra2ʔ ci2ʔ ri4t
กระจึ๊กกระจั๊ก,kra2ʔ cɯ4k kra2ʔ ca4k
กระจุก,kra2ʔ cu2k
กระจุกตัว,kra2ʔ cu2k tV1
กระจุกกระจิก,kra2ʔ cu2k kra2ʔ ci2k
กระจุ๋มกระจิ๋ม,kra2ʔ cu5m kra2ʔ ci5m
กระจุย,kra2ʔ cu1j
กระจูด,kra2ʔ cU2t
กระเจอะกระเจิง,kra2ʔ cə2ʔ kra2ʔ cZ1ŋ
กระเจา,kra2ʔ ca1w
กระเจิง,kra2ʔ cZ1ŋ
กระเจิดกระเจิง,kra2ʔ cZ2t kra2ʔ cZ1ŋ
กระเจี๊ยบ,kra2ʔ cJ4p
กระเจี๊ยบเขียว,kra2ʔ cJ4p KJ5w
กระเจี๊ยบมอญ,kra2ʔ cJ4p mX1n
กระโจน,kra2ʔ cO1n
กระโจม,kra2ʔ cO1m
กระโจมทอง,kra2ʔ cO1m TX1ŋ
กระโจมที่พัก,kra2ʔ cO1m TI3 Pa4k
กระโจมไฟ,kra2ʔ cO1m fa1j
กระโจมอก,kra2ʔ cO1m ʔo2k
กระฉอก,kra2ʔ CX2k
กระฉอกกระแฉก,kra2ʔ CX2k kra2ʔ CY2k
กระฉ่อน,kra2ʔ CX2n
กระฉับกระเฉง,kra2ʔ Ca2p kra2ʔ CE5ŋ
กระฉับกระแฉง,kra2ʔ Ca2p kra2ʔ CY5ŋ
กระฉูด,kra2ʔ CU2t
กระเฉด,kra2ʔ CE2t
กระโฉกกระเฉก,kra2ʔ CO2k kra2ʔ CE2k
กระชอน,kra2ʔ CX1n
